area,stories,bedrooms,bathrooms,airconditioning,parking,prefarea,furnishingstatus,price
9000,4,4,2,yes,1,yes,furnished,7245000
5320,2,3,1,no,0,yes,semi-furnished,4550000
8800,2,3,2,yes,2,no,furnished,8575000
8500,4,3,2,yes,2,no,furnished,8960000
5880,1,2,1,no,0,no,unfurnished,3500000
13200,1,2,1,no,1,no,furnished,6930000
4510,2,4,2,no,0,no,semi-furnished,4613000
4075,1,3,1,no,2,no,semi-furnished,4340000
3510,2,3,1,no,0,no,semi-furnished,4473000
2856,3,3,1,no,0,yes,furnished,3780000
6000,4,4,2,no,1,no,semi-furnished,6300000
4500,1,4,2,yes,2,no,semi-furnished,5215000
6600,1,3,1,no,0,yes,furnished,5040000
3510,3,3,1,no,0,no,semi-furnished,4515000
4560,2,3,2,yes,1,no,furnished,8645000
3480,1,2,1,no,1,no,semi-furnished,2660000
2398,1,3,1,no,0,yes,semi-furnished,3118850
3500,1,2,1,no,0,no,unfurnished,2450000
7500,1,3,3,yes,2,yes,semi-furnished,10850000
6900,1,3,2,no,0,yes,unfurnished,6020000
6000,3,3,2,yes,0,no,semi-furnished,7560000
6060,1,2,1,no,1,no,semi-furnished,4123000
3600,1,3,1,yes,0,yes,furnished,4098500
6600,2,4,2,yes,1,yes,unfurnished,9100000
4300,2,3,2,no,1,no,unfurnished,7455000
4770,1,3,1,no,0,no,semi-furnished,4900000
4040,1,2,1,no,0,no,unfurnished,3423000
7500,2,4,2,yes,3,yes,furnished,12215000
4950,2,4,1,yes,0,no,semi-furnished,4382000
5300,2,5,2,no,0,no,semi-furnished,3850000
6000,2,3,2,no,1,no,semi-furnished,7140000
7686,1,3,1,no,0,no,semi-furnished,4970000
3264,1,2,1,no,0,no,unfurnished,2380000
6600,1,3,1,no,2,yes,semi-furnished,6090000
4050,1,2,1,no,0,no,furnished,3710000
3640,2,3,2,no,0,no,unfurnished,4200000
5500,2,4,2,yes,1,yes,semi-furnished,8400000
3880,2,3,2,no,2,no,semi-furnished,4620000
12900,1,3,1,no,2,no,furnished,4900000
6000,4,3,2,yes,0,yes,semi-furnished,8463000
16200,2,5,3,no,0,no,unfurnished,10150000
7200,2,3,1,no,1,yes,furnished,5215000
7440,4,3,2,no,1,yes,unfurnished,7420000
3240,3,4,1,no,1,no,semi-furnished,6107500
9000,4,4,2,yes,2,no,furnished,7980000
2817,2,4,2,no,1,no,furnished,5495000
4840,2,2,1,no,0,no,unfurnished,2450000
6420,1,3,1,yes,0,yes,furnished,5950000
2145,3,3,1,no,0,yes,furnished,3465000
6800,1,2,1,no,2,no,furnished,6020000
3210,2,3,1,no,0,no,unfurnished,2450000
5400,2,4,1,no,0,no,semi-furnished,4900000
9800,2,4,2,no,2,no,semi-furnished,5250000
4500,1,2,1,no,0,no,semi-furnished,3605000
4320,1,3,1,no,0,yes,semi-furnished,4690000
4700,2,4,1,yes,1,no,furnished,5600000
8150,1,3,2,no,0,no,semi-furnished,5005000
4120,2,2,1,no,0,no,unfurnished,3360000
3480,2,4,1,no,1,no,semi-furnished,3290000
4100,1,2,2,no,0,no,semi-furnished,4543000
5850,1,2,1,no,2,no,semi-furnished,4200000
4785,2,3,1,yes,1,no,furnished,3395000
4000,2,3,1,yes,0,no,unfurnished,2653000
6660,2,4,2,no,1,yes,semi-furnished,5652500
3450,1,3,1,no,2,no,unfurnished,3395000
7700,1,3,2,no,2,no,unfurnished,6895000
4500,1,2,1,yes,2,no,furnished,4270000
6000,1,2,1,yes,1,no,furnished,4690000
4260,2,4,1,yes,0,no,furnished,5250000
5720,2,2,1,yes,0,yes,unfurnished,5075000
3960,2,3,1,no,0,no,furnished,3990000
4040,1,2,1,no,1,no,unfurnished,3325000
4000,1,2,1,no,0,no,unfurnished,2695000
4800,1,2,1,no,0,no,semi-furnished,5033000
4000,2,3,2,yes,1,no,semi-furnished,6615000
6615,2,4,2,no,1,no,semi-furnished,6090000
5500,2,3,1,yes,0,no,unfurnished,4200000
5000,4,3,1,no,0,no,furnished,5600000
4800,4,3,2,yes,0,no,furnished,6405000
5400,2,5,1,yes,0,yes,furnished,5565000
4500,2,2,1,no,1,no,semi-furnished,3080000
3500,1,2,1,no,0,no,semi-furnished,3150000
8250,1,3,1,no,0,no,furnished,4480000
3400,2,3,1,no,2,yes,semi-furnished,4277000
3060,1,3,1,no,0,no,unfurnished,3465000
4032,1,2,1,no,0,no,furnished,4319000
6350,3,3,2,yes,0,no,furnished,6195000
3460,1,3,2,yes,1,no,furnished,4025000
4040,2,3,1,no,1,no,furnished,6650000
4820,2,3,1,no,0,no,semi-furnished,3780000
2475,2,3,1,no,0,no,furnished,2380000
7020,1,3,1,yes,2,yes,semi-furnished,5950000
4340,1,3,1,no,0,no,semi-furnished,4060000
3780,2,2,1,no,0,no,semi-furnished,3885000
12944,1,3,1,no,0,no,unfurnished,3500000
5200,3,4,1,no,0,no,unfurnished,2852500
2610,2,4,3,no,0,no,semi-furnished,4200000
3600,2,3,1,no,1,no,unfurnished,2940000
3290,1,2,1,no,1,no,furnished,3920000
2145,2,3,1,no,0,yes,furnished,3290000
5985,1,3,1,no,0,no,semi-furnished,4130000
7482,3,3,2,no,1,yes,furnished,8043000
6360,1,3,1,yes,2,yes,furnished,5740000
3520,2,2,1,no,0,yes,furnished,4515000
3630,2,3,2,no,2,no,semi-furnished,4025000
6000,4,3,2,yes,1,no,furnished,7210000
8372,3,3,1,yes,2,no,unfurnished,6090000
5800,1,3,1,no,2,no,semi-furnished,4200000
2953,2,3,1,yes,0,no,unfurnished,4200000
3750,1,2,1,no,0,no,semi-furnished,4445000
3850,1,3,1,no,0,no,unfurnished,3430000
5136,2,3,1,yes,0,yes,unfurnished,5600000
4880,1,3,1,no,2,yes,unfurnished,4403000
3792,2,4,1,no,0,no,semi-furnished,3290000
6000,4,3,1,yes,2,no,unfurnished,7962500
2520,1,5,2,yes,1,no,furnished,3773000
5948,2,3,1,yes,0,no,semi-furnished,4935000
2145,3,3,1,no,0,yes,furnished,3430000
10500,1,2,1,no,1,no,semi-furnished,5600000
3986,1,2,2,no,1,no,unfurnished,3150000
5500,2,3,2,no,1,no,semi-furnished,5600000
8250,1,3,1,no,2,no,furnished,3773000
5400,1,3,1,no,3,no,semi-furnished,4025000
7320,2,4,2,no,0,no,furnished,5950000
2700,1,2,1,no,0,no,furnished,2940000
9000,1,3,1,no,1,yes,furnished,6300000
4800,3,5,2,no,0,no,unfurnished,5600000
4000,2,3,1,no,1,no,furnished,4585000
3630,2,4,1,no,3,no,semi-furnished,3010000
6400,1,3,1,yes,1,yes,semi-furnished,6300000
1650,2,3,1,no,0,no,unfurnished,3150000
4410,1,2,1,no,1,no,unfurnished,4200000
7350,1,2,1,no,1,no,semi-furnished,3500000
6254,1,4,2,no,1,yes,semi-furnished,5950000
7980,1,3,1,no,1,yes,semi-furnished,5145000
4120,1,2,1,no,1,no,semi-furnished,4900000
3520,1,3,1,no,0,yes,semi-furnished,4550000
2176,2,2,1,no,0,yes,semi-furnished,3850000
8080,1,3,1,yes,2,no,semi-furnished,3920000
3512,1,2,1,no,1,yes,unfurnished,3500000
4000,1,2,1,no,0,no,unfurnished,3430000
3450,2,3,1,no,0,no,semi-furnished,3150000
4320,2,3,1,no,2,yes,furnished,4060000
15600,1,3,1,yes,2,no,semi-furnished,5943000
7152,2,3,1,yes,0,no,furnished,3850000
6321,2,3,1,yes,1,no,furnished,4760000
3000,2,3,1,no,0,no,semi-furnished,2485000
7000,2,3,1,no,0,no,unfurnished,4795000
11460,3,3,1,no,2,yes,semi-furnished,5873000
4960,1,2,1,no,0,no,unfurnished,2940000
3460,2,4,1,yes,0,no,semi-furnished,4007500
3000,1,2,1,no,0,no,unfurnished,2135000
3630,1,2,1,no,0,no,unfurnished,2870000
5400,2,4,1,no,0,no,unfurnished,2870000
4900,2,3,1,no,0,no,unfurnished,3493000
5500,2,4,1,no,0,no,semi-furnished,3920000
4000,2,4,2,no,0,no,semi-furnished,4200000
3640,1,2,1,no,0,no,furnished,3395000
4500,1,2,1,no,0,no,furnished,3570000
4500,1,2,1,no,0,no,semi-furnished,3255000
4300,2,6,2,no,0,no,furnished,6083000
3180,2,3,2,no,2,no,semi-furnished,5215000
3150,1,2,2,no,0,no,semi-furnished,3815000
4500,2,4,2,no,2,no,furnished,3570000
3520,1,2,2,no,0,no,semi-furnished,3640000
4040,2,2,1,no,1,no,semi-furnished,4095000
4400,2,4,1,yes,2,yes,semi-furnished,5565000
4095,1,2,1,no,2,no,semi-furnished,3150000
4160,1,3,1,yes,0,no,unfurnished,4620000
3600,1,2,1,no,0,no,unfurnished,2590000
5830,1,2,1,no,2,no,unfurnished,3780000
6710,2,3,2,no,1,yes,furnished,5390000
4992,2,3,2,no,2,no,unfurnished,4060000
5400,2,4,2,yes,2,no,unfurnished,5740000
2800,2,3,2,yes,1,no,semi-furnished,4956000
4040,2,3,1,no,1,no,semi-furnished,4480000
3745,2,3,1,no,0,no,furnished,4655000
8000,1,3,1,yes,2,yes,semi-furnished,6020000
6540,1,3,1,no,2,yes,furnished,5950000
3640,1,2,1,no,1,no,semi-furnished,3500000
10240,1,2,1,yes,2,yes,unfurnished,4760000
3000,1,3,1,yes,0,no,unfurnished,3115000
4000,1,2,1,no,0,yes,semi-furnished,3605000
3350,2,3,1,no,0,no,unfurnished,3836000
6500,3,3,2,yes,0,no,unfurnished,5880000
3360,1,2,1,no,1,no,unfurnished,2100000
6650,2,3,1,no,0,no,semi-furnished,4235000
2650,2,3,1,no,1,no,unfurnished,2800000
2835,1,2,1,no,0,no,semi-furnished,3010000
6420,3,3,1,no,0,yes,unfurnished,6125000
4750,1,2,1,no,0,no,unfurnished,3360000
3600,1,2,1,no,0,no,furnished,3675000
4800,3,3,1,yes,0,no,unfurnished,5810000
3180,1,2,1,no,0,no,unfurnished,2310000
6000,4,4,2,yes,1,no,furnished,7560000
6540,2,4,2,yes,0,no,semi-furnished,5250000
8880,2,3,2,yes,1,no,furnished,6930000
4360,2,4,1,no,0,no,furnished,4270000
8250,3,3,2,yes,0,no,furnished,6510000
3640,2,3,1,yes,0,no,furnished,4550000
11410,2,2,1,no,0,yes,furnished,5110000
5880,1,3,1,no,1,no,unfurnished,3290000
3150,1,3,2,yes,0,no,furnished,5460000
6550,2,4,2,yes,1,yes,semi-furnished,9310000
7000,4,3,2,yes,2,no,furnished,8080940
7950,2,5,2,no,2,no,unfurnished,8400000
5500,1,3,2,no,0,no,semi-furnished,5250000
10500,2,4,2,no,1,no,semi-furnished,5600000
3069,1,2,1,no,1,no,unfurnished,3150000
3850,1,3,1,no,2,no,unfurnished,3535000
3420,2,4,2,no,0,no,semi-furnished,4767000
4100,3,3,2,yes,2,no,semi-furnished,6300000
6325,4,3,1,yes,1,no,unfurnished,7420000
3840,2,3,1,no,1,yes,semi-furnished,4585000
3750,1,3,1,no,0,no,unfurnished,3360000
3600,1,2,1,no,0,no,semi-furnished,3780000
6060,1,3,1,no,0,no,furnished,3290000
7085,1,3,1,no,2,yes,semi-furnished,5229000
3120,2,3,1,no,0,no,furnished,3220000
6360,4,3,2,yes,0,yes,furnished,7840000
4000,2,3,1,no,1,no,unfurnished,2730000
4370,2,3,1,no,0,no,unfurnished,3220000
5800,1,2,1,yes,0,no,semi-furnished,4900000
3990,2,3,1,no,0,no,semi-furnished,3500000
2175,2,3,1,yes,0,no,unfurnished,4270000
3480,1,2,1,no,0,yes,semi-furnished,3745000
5900,1,2,1,no,1,no,furnished,3500000
4510,2,4,1,yes,2,no,semi-furnished,4480000
4600,1,2,1,no,0,no,furnished,3010000
7420,2,4,1,yes,2,no,furnished,11410000
4000,2,3,1,no,2,no,furnished,4480000
3600,2,2,2,no,1,no,furnished,2590000
6600,1,3,2,yes,0,yes,unfurnished,6230000
5170,4,3,1,yes,0,no,semi-furnished,4690000
4400,1,2,1,no,0,no,unfurnished,2590000
4995,1,4,2,no,0,no,semi-furnished,4893000
3660,2,4,1,no,0,no,unfurnished,2940000
10269,1,3,1,no,1,yes,semi-furnished,5250000
6600,3,3,2,yes,0,yes,unfurnished,6293000
2747,2,4,2,no,0,no,semi-furnished,4200000
4160,3,3,1,no,0,no,unfurnished,4830000
8880,1,2,1,yes,1,no,semi-furnished,7070000
5320,1,2,1,no,1,yes,unfurnished,3465000
6600,4,3,1,yes,3,yes,furnished,7490000
4880,2,4,2,yes,1,yes,furnished,8295000
4920,2,3,1,no,1,no,semi-furnished,4403000
6480,2,3,1,yes,1,no,semi-furnished,3990000
4520,2,3,1,yes,0,no,semi-furnished,4900000
2910,1,2,1,no,0,no,unfurnished,2604000
8875,1,3,1,no,1,no,semi-furnished,8400000
3300,2,3,1,no,1,no,semi-furnished,2835000
5400,2,2,1,no,0,yes,semi-furnished,4690000
3162,2,3,1,yes,1,no,furnished,4473000
2275,3,3,1,yes,0,yes,semi-furnished,3640000
5040,2,3,1,yes,0,no,unfurnished,4200000
3500,2,4,1,yes,2,no,unfurnished,3360000
6600,2,4,2,no,0,yes,semi-furnished,5460000
3036,2,3,1,no,0,no,semi-furnished,3500000
3150,2,3,1,no,0,no,unfurnished,2940000
5000,3,3,1,yes,0,no,semi-furnished,5740000
6240,2,4,2,yes,1,no,furnished,7070000
6000,4,3,2,yes,0,no,unfurnished,5775000
5500,3,3,1,yes,1,no,furnished,5873000
3970,1,1,1,no,0,no,unfurnished,2275000
8100,2,4,1,yes,2,yes,furnished,9870000
4100,1,4,1,no,0,no,unfurnished,3990000
3850,1,2,1,no,0,no,semi-furnished,3850000
11175,1,3,1,yes,1,yes,furnished,7000000
4079,3,3,1,no,0,no,semi-furnished,4200000
7800,2,3,2,no,0,yes,semi-furnished,9240000
6900,1,3,1,no,0,yes,semi-furnished,5523000
6550,2,3,1,yes,0,yes,furnished,7875000
3520,1,3,1,no,2,yes,unfurnished,3633000
6100,1,3,1,yes,0,yes,semi-furnished,5110000
3000,2,4,1,no,0,no,unfurnished,2100000
6040,1,3,1,no,2,yes,semi-furnished,4830000
3185,1,2,1,no,2,no,unfurnished,3430000
6360,1,2,1,no,0,no,furnished,4270000
6800,1,2,1,no,0,no,unfurnished,2730000
4350,2,3,1,no,1,no,unfurnished,2835000
2145,1,4,2,no,0,yes,unfurnished,3920000
2870,2,2,1,no,0,yes,semi-furnished,4620000
3000,2,3,1,yes,0,no,semi-furnished,4900000
3420,2,4,2,yes,2,no,semi-furnished,4893000
2325,2,3,1,no,0,no,semi-furnished,4200000
4400,2,3,1,no,0,no,unfurnished,2485000
3450,2,3,1,no,1,no,semi-furnished,4515000
3420,2,5,1,no,0,no,unfurnished,1960000
5495,1,3,1,no,0,no,unfurnished,3129000
3620,1,2,1,no,0,no,unfurnished,1750000
4500,1,3,1,no,0,no,furnished,4200000
3420,2,2,1,no,1,no,semi-furnished,3780000
3900,2,3,1,no,0,no,unfurnished,4375000
3450,1,1,1,no,0,no,furnished,3150000
4095,2,3,1,yes,0,no,semi-furnished,4900000
6100,3,3,1,yes,0,yes,semi-furnished,5460000
6000,4,4,2,no,2,no,semi-furnished,7700000
6862,2,3,1,yes,2,yes,furnished,4830000
9500,2,3,1,no,3,yes,unfurnished,3500000
7600,2,4,1,yes,2,no,furnished,5040000
4632,2,4,1,yes,0,no,semi-furnished,4130000
6360,1,2,1,yes,1,no,furnished,4473000
4500,4,3,1,yes,0,no,unfurnished,6160000
5150,4,3,2,yes,2,no,semi-furnished,7350000
4600,2,4,1,no,0,no,semi-furnished,3500000
8960,4,4,4,yes,3,no,furnished,12250000
2430,1,3,1,no,0,no,unfurnished,2660000
3600,1,3,1,no,1,no,unfurnished,3710000
7440,1,3,2,yes,0,yes,semi-furnished,7420000
4960,3,4,1,no,0,no,semi-furnished,3360000
6000,2,3,1,no,1,yes,semi-furnished,6629000
6300,1,3,1,yes,2,no,semi-furnished,4900000
6840,2,5,1,yes,1,no,furnished,8120000
2500,1,2,1,yes,0,no,unfurnished,3290000
3968,2,3,1,no,0,no,semi-furnished,4410000
2145,2,3,1,no,0,yes,furnished,3332000
4500,2,3,1,yes,0,no,unfurnished,3143000
4320,1,3,1,no,1,no,unfurnished,3220000
3630,1,2,1,no,0,no,furnished,3675000
6750,1,2,1,no,2,yes,furnished,6419000
3180,2,4,2,no,0,no,furnished,3885000
3640,1,2,1,no,0,no,unfurnished,2345000
6000,4,4,2,yes,1,no,furnished,7350000
2015,2,3,1,no,0,yes,semi-furnished,3850000
4900,2,2,1,no,0,no,semi-furnished,4410000
3760,1,3,1,no,2,no,semi-furnished,4550000
3500,2,4,2,no,2,no,furnished,9240000
5600,1,2,1,yes,0,no,semi-furnished,4095000
7410,1,3,1,yes,2,yes,unfurnished,6475000
4240,2,3,1,yes,0,no,semi-furnished,3500000
3500,2,4,1,no,2,no,furnished,4340000
7800,1,3,1,yes,2,yes,unfurnished,5320000
4500,2,3,2,yes,0,no,semi-furnished,3990000
2990,1,2,1,no,1,no,unfurnished,1855000
7000,1,3,1,no,2,yes,semi-furnished,5803000
4840,2,3,1,no,1,no,semi-furnished,4165000
3040,1,2,1,no,0,no,unfurnished,2870000
1950,1,3,1,no,0,no,unfurnished,2240000
3185,1,2,1,yes,0,no,unfurnished,2653000
3000,3,4,1,yes,2,no,semi-furnished,4060000
2550,2,3,1,no,0,no,furnished,4550000
3540,1,2,1,no,0,no,semi-furnished,5040000
3000,2,2,1,no,0,no,semi-furnished,2961000
2880,1,3,1,no,0,no,unfurnished,2520000
7680,4,4,2,yes,1,no,semi-furnished,7210000
4352,2,4,1,no,1,no,unfurnished,2975000
9860,1,3,1,no,0,no,semi-furnished,4515000
7155,1,3,2,yes,2,no,unfurnished,8680000
3680,2,3,2,no,0,no,semi-furnished,4095000
3500,1,2,1,no,0,no,unfurnished,3115000
6210,4,4,1,yes,0,no,furnished,5460000
4400,1,2,1,no,1,no,semi-furnished,4305000
10700,2,3,1,no,0,no,semi-furnished,5040000
3640,1,2,1,no,0,no,unfurnished,3570000
1950,2,3,2,no,0,yes,unfurnished,3430000
2640,1,2,1,no,1,no,furnished,2835000
4080,1,2,1,no,0,no,semi-furnished,3850000
4046,2,3,1,no,1,no,semi-furnished,4165000
4800,1,3,1,no,0,no,unfurnished,5866000
6000,3,4,1,no,0,yes,unfurnished,6265000
3180,2,3,1,no,0,no,semi-furnished,3640000
3960,1,3,1,no,2,no,semi-furnished,6475000
3850,2,3,1,no,0,no,unfurnished,3115000
4050,2,2,1,no,0,yes,unfurnished,3990000
4350,1,2,1,no,0,no,unfurnished,4865000
3090,2,3,1,no,0,no,semi-furnished,3010000
7231,2,3,1,yes,0,yes,semi-furnished,5950000
4320,2,3,1,no,2,no,semi-furnished,8750000
6000,4,4,2,yes,0,no,unfurnished,6755000
5450,1,4,2,yes,0,yes,semi-furnished,6160000
4500,3,3,2,no,1,no,furnished,4340000
4040,1,2,1,no,0,no,unfurnished,3290000
5500,4,3,2,yes,1,no,semi-furnished,6195000
